industry_region_id,company_id,company,first_participation_year,application_category,sub_category,flight_room,final_industry,region
135,134.0,"SolGro, Inc.",2022,Agriculture,,,"Agriculture, Sensors, Other",North Texas (Including DFW)
136,135.0,SUHO Biotechnology LLC,2022,Agriculture,,,"Agriculture, Sensors, Other",Bryan/College Station
137,137.0,"Vaccine Systems, LLC",2022,Medical Device,,,Healthcare - Device,Austin
138,138.0,XN Health Inc,2022,Medical Device,,,Healthcare - Device,Houston
139,125.0,"Atlas Sensor Technologies, Inc.",2022,Agriculture,,,"Agriculture, Sensors, Other",West Texas
140,,"Tremedics Medical Devices, INC",2022,Medical Device,,,Healthcare - Device,North Texas (Including DFW)
141,131.0,Longhorn Life Sciences,2022,Medical Device,,,Healthcare - Device,Austin
142,155.0,"Cellula BioPharma, Inc.",2023,Rx/Therapeutics,,,Healthcare - Rx/Therapeutics,Houston
143,139.0,Corveus Medical,2023,Medical Device,,,Healthcare - Device,Houston
144,,"CryoDesalination, LLC",2023,Clean Tech,,,Energy/Cleantech,Houston
145,,"HPTechAi, LLC",2023,Transportation,,,Transportation,Bryan/College Station
146,144.0,Luci,2023,IT/Software,,,IT - Software,North Texas
147,,NeuroStasis Inc.,2023,Medical Device,,,Healthcare - Device,Houston
148,146.0,"Opsin Biotherapeutics, Inc.",2023,Rx/Therapeutics,,,Healthcare - Rx/Therapeutics,Houston
149,,PIRvision Lens,2023,Energy,,,Energy/Cleantech,Bryan/College Station
150,150.0,"Prosia Therapeutics, Inc.",2023,Rx/Therapeutics,,,Healthcare - Rx/Therapeutics,Bryan/College Station
151,151.0,"SageSpectra, Inc.",2023,Medical Device,,,Healthcare - Device,Houston
152,152.0,Taurus Vascular,2023,Medical Device,,,Healthcare - Device,Houston
153,,Waltech International,2023,IT/Software,,,IT - Software,Austin
154,149.0,"Predyct, Inc.",2023,Energy,,,Energy/Cleantech,Houston
155,156.0,"Circle Concrete Tech, Inc.",2023,Transportation,,,Transportation,Other
156,142.0,Ember Sleep,2023,Medical Device,,,Healthcare - Device,Houston
